Accessing Elements for int type.
N   total time    time per operation   Log(N)
17550        12720         0.724786       -0.464372
17600        12693         0.721193       -0.471542
17650        12785         0.724363       -0.465216
17700        15061         0.850904       -0.232932
17750        12927         0.728282       -0.457432
17800        12945         0.727247       -0.459482
17850        12929         0.724314       -0.465313
17900        13070         0.730168       -0.4537
17950        12970         0.722563       -0.468805
18000        13008         0.722667       -0.468598
18050        13015         0.721053       -0.471824
18100        13685         0.756077       -0.403394
18150        13180         0.726171       -0.461619
18200        13150         0.722527       -0.468876
18250        13165         0.72137       -0.471189
18300        13352         0.729617       -0.454788
18350        13354         0.727738       -0.458508
18400        13338         0.724891       -0.464163
18450        14846         0.804661       -0.313547
18500        14170         0.765946       -0.384686
18550        13409         0.722857       -0.468218
18600        15232         0.818925       -0.288197
18650        13471         0.722306       -0.469319
18700        13532         0.723636       -0.466663
18750        13524         0.72128       -0.471369
18800        13880         0.738298       -0.437725
18850        14235         0.755172       -0.405122
18900        13747         0.727354       -0.459269
18950        13728         0.724433       -0.465076
19000        13730         0.722632       -0.468668
19050        13737         0.721102       -0.471724
19100        13811         0.723089       -0.467755
19150        13863         0.723916       -0.466105
19200        13976         0.727917       -0.458155
19250        14590         0.757922       -0.399879
19300        13953         0.722953       -0.468026
19350        14077         0.727494       -0.458994
19400        14086         0.726082       -0.461795
19450        14050         0.722365       -0.4692
19500        15972         0.819077       -0.287929
19550        14182         0.725422       -0.463108
19600        14137         0.721276       -0.471378
19650        14802         0.753282       -0.408737
19700        14261         0.723909       -0.46612
19750        14270         0.722532       -0.468867
19800        14281         0.721263       -0.471403
19850        14342         0.722519       -0.468893
19900        14374         0.722312       -0.469307
19950        14441         0.72386       -0.466218
20000        14423         0.72115       -0.471629
20050        15103         0.753267       -0.408767
20100        14653         0.729005       -0.455999
20150        14636         0.726352       -0.461259
20200        14640         0.724752       -0.46444
20250        14650         0.723457       -0.467021
20300        14739         0.726059       -0.461841
20350        16353         0.803587       -0.315473
20400        15383         0.754069       -0.407232
20450        14804         0.723912       -0.466114
20500        14787         0.721317       -0.471295
20550        14849         0.722579       -0.468773
20600        14880         0.72233       -0.46927
20650        14894         0.721259       -0.471411
20700        14925         0.721014       -0.4719
20750        15624         0.752964       -0.409347
20800        15054         0.72375       -0.466437
20850        15275         0.732614       -0.448875
20900        15259         0.730096       -0.453843
20950        15169         0.724057       -0.465824
21000        15181         0.722905       -0.468123
21050        15763         0.748836       -0.417278
21100        15275         0.723934       -0.466071
21150        15280         0.722459       -0.469013
21200        17129         0.807972       -0.307623
21250        15554         0.731953       -0.450177
21300        15394         0.722723       -0.468485
21350        15392         0.720937       -0.472055
21400        16052         0.750093       -0.414858
21450        15554         0.725128       -0.463692
21500        15531         0.722372       -0.469186
21550        15554         0.721763       -0.470402
21600        15611         0.722731       -0.468468
21650        15616         0.721293       -0.471342
21700        15650         0.721198       -0.471532
21750        15970         0.734253       -0.445651
21800        16524         0.757982       -0.399765
21850        17575         0.804348       -0.314109
21900        17563         0.801963       -0.318392
21950        15859         0.722506       -0.468919
22000        15907         0.723045       -0.467842
22050        17596         0.798005       -0.325531
22100        16120         0.729412       -0.455195
22150        16016         0.72307       -0.467793
22200        16058         0.723333       -0.467267
22250        16205         0.728315       -0.457366
22300        16165         0.724888       -0.46417
22350        16119         0.721208       -0.471513
22400        16153         0.721116       -0.471697
22450        16397         0.730379       -0.453284
22500        17331         0.770267       -0.37657
22550        16328         0.72408       -0.465779
22600        16350         0.723451       -0.467032
22650        16359         0.722252       -0.469426
22700        16373         0.721278       -0.471374
22750        16797         0.73833       -0.437663
22800        16945         0.743202       -0.428174
22850        16620         0.727352       -0.459274
22900        18159         0.792969       -0.334663
22950        16573         0.722135       -0.469659
23000        16587         0.721174       -0.471581
23050        16819         0.729675       -0.454675
23100        16949         0.733723       -0.446693
23150        16821         0.726609       -0.460749
23200        16753         0.722112       -0.469705
23250        16761         0.720903       -0.472122
23300        16993         0.729313       -0.455389
23350        16901         0.723812       -0.466314
23400        16909         0.722607       -0.468717
23450        17107         0.72951       -0.455001
23500        17049         0.725489       -0.462974
23550        16987         0.721316       -0.471296
23600        17078         0.723644       -0.466648
23650        17052         0.721015       -0.471899
23700        18920         0.798312       -0.324975
23750        17261         0.726779       -0.460411
23800        17271         0.725672       -0.46261
23850        17196         0.721006       -0.471916
23900        17284         0.72318       -0.467573
23950        17301         0.72238       -0.46917
24000        17327         0.721958       -0.470013
24050        17461         0.726029       -0.461901
24100        17490         0.725726       -0.462503
24150        17447         0.722443       -0.469044
24200        17497         0.723017       -0.467899
24250        17491         0.721278       -0.471372
24300        17521         0.721029       -0.471871
24350        17699         0.726858       -0.460254
24400        17679         0.724549       -0.464844
24450        17872         0.730961       -0.452133
24500        19688         0.803592       -0.315465
24550        17851         0.727128       -0.459718
24600        17744         0.721301       -0.471327
24650        18209         0.738702       -0.436936
24700        18198         0.736761       -0.440731
24750        19823         0.800929       -0.320253
24800        18641         0.751653       -0.411861
24850        17922         0.721207       -0.471514
24900        17950         0.720884       -0.472162
24950        18177         0.728537       -0.456926
